timestamp,equity
2024-05-01T07:00:00+00:00,100000.0
2024-05-01T07:00:00+00:00,100000.0
2024-05-01T07:01:00+00:00,100000.0
2024-05-01T07:02:00+00:00,100000.0
2024-05-01T07:03:00+00:00,100000.0
2024-05-01T07:04:00+00:00,100000.0
2024-05-01T07:05:00+00:00,100000.0
2024-05-01T07:06:00+00:00,100000.0
2024-05-01T07:07:00+00:00,100000.0
2024-05-01T07:08:00+00:00,100000.0
2024-05-01T07:09:00+00:00,100000.0
2024-05-01T07:10:00+00:00,100000.0
2024-05-01T07:11:00+00:00,100000.0
2024-05-01T07:12:00+00:00,100000.0
2024-05-01T07:13:00+00:00,100000.0
2024-05-01T07:14:00+00:00,100000.0
2024-05-01T07:15:00+00:00,100000.0
2024-05-01T07:16:00+00:00,100000.0
2024-05-01T07:17:00+00:00,100000.0
2024-05-01T07:18:00+00:00,100000.0
2024-05-01T07:19:00+00:00,100000.0
2024-05-01T07:20:00+00:00,100000.0
2024-05-01T07:21:00+00:00,100000.0
2024-05-01T07:22:00+00:00,100000.0
2024-05-01T07:23:00+00:00,100000.0
2024-05-01T07:24:00+00:00,100000.0
2024-05-01T07:25:00+00:00,100000.0
2024-05-01T07:26:00+00:00,100000.0
2024-05-01T07:27:00+00:00,100000.0
2024-05-01T07:28:00+00:00,100000.0
2024-05-01T07:29:00+00:00,100000.0
2024-05-01T07:30:00+00:00,100000.0
