2025-11-18 21:48:13 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.16692 sl=1.16723 tp=1.16560
2025-11-18 21:48:13 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.16723 pnl=-6503.26 R=-1.00
2025-11-18 21:48:13 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.16334 sl=1.16316 tp=1.16384
2025-11-18 21:48:13 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.16334 pnl=0.00 R=0.00
2025-11-18 21:48:13 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.16323 sl=1.16356 tp=1.16285
2025-11-18 21:48:13 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.16356 pnl=-6914.60 R=-1.00
2025-11-18 21:48:13 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.16090 sl=1.16063 tp=1.16123
2025-11-18 21:48:13 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.16063 pnl=-5776.96 R=-1.00
2025-11-18 21:48:13 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.16087 sl=1.16057 tp=1.16129
2025-11-18 21:48:13 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.16057 pnl=-6423.57 R=-1.00
2025-11-18 21:48:13 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.15929 sl=1.15904 tp=1.16013
2025-11-18 21:48:13 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.16013 pnl=17793.82 R=0.00
2025-11-18 21:48:13 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.16009 sl=1.16039 tp=1.15896
2025-11-18 21:48:13 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.16039 pnl=-6315.80 R=-1.00
2025-11-18 21:48:13 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.16073 sl=1.16109 tp=1.16019
2025-11-18 21:48:13 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.16019 pnl=11499.29 R=0.00
2025-11-18 21:48:14 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.16053 sl=1.16032 tp=1.16175
2025-11-18 21:48:14 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.16032 pnl=-4547.50 R=-1.00
2025-11-18 21:48:14 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.16031 sl=1.16072 tp=1.15949
2025-11-18 21:48:14 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.16072 pnl=-8703.39 R=-1.00
2025-11-18 21:48:14 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.16276 sl=1.16247 tp=1.16343
2025-11-18 21:48:14 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.16247 pnl=-6196.68 R=-1.00
2025-11-18 21:48:14 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.16587 sl=1.16615 tp=1.16542
2025-11-18 21:48:14 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.16615 pnl=-6016.03 R=-1.00
2025-11-18 21:48:14 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.16375 sl=1.16363 tp=1.16439
2025-11-18 21:48:14 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.16363 pnl=-2612.23 R=-1.00
2025-11-18 21:48:14 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.16372 sl=1.16354 tp=1.16456
2025-11-18 21:48:14 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.16354 pnl=-3873.57 R=-1.00
2025-11-18 21:48:14 | INFO | trades | OPEN | SELL | qty=19174620.14 entry=1.16135 sl=1.16204 tp=1.15954
2025-11-18 21:48:14 | INFO | trades | CLOSE | SELL | qty=19174620.14 exit=1.16204 pnl=-13181.87 R=-1.00
2025-11-18 21:48:14 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.15695 sl=1.15661 tp=1.15830
2025-11-18 21:48:14 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.15695 pnl=0.00 R=0.00
2025-11-18 21:48:15 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.15693 sl=1.15661 tp=1.15797
2025-11-18 21:48:15 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.15693 pnl=0.00 R=0.00
2025-11-18 21:48:15 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.15680 sl=1.15739 tp=1.15575
2025-11-18 21:48:15 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.15575 pnl=22341.34 R=0.00
2025-11-18 21:48:15 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.15689 sl=1.15728 tp=1.15590
2025-11-18 21:48:15 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.15728 pnl=-8357.60 R=-1.00
2025-11-18 21:48:15 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.15348 sl=1.15315 tp=1.15407
2025-11-18 21:48:15 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.15407 pnl=12613.39 R=1.82
2025-11-18 21:48:15 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.15391 sl=1.15415 tp=1.15259
2025-11-18 21:48:15 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.15391 pnl=-0.00 R=0.00
2025-11-18 21:48:15 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.15383 sl=1.15338 tp=1.15481
2025-11-18 21:48:15 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.15338 pnl=-9572.11 R=-1.00
2025-11-18 21:48:15 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.15100 sl=1.15078 tp=1.15239
2025-11-18 21:48:15 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.15078 pnl=-4720.54 R=-1.00
2025-11-18 21:48:15 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.15111 sl=1.15078 tp=1.15239
2025-11-18 21:48:15 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.15239 pnl=27305.17 R=0.00
2025-11-18 21:48:16 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.15227 sl=1.15263 tp=1.15045
2025-11-18 21:48:16 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.15263 pnl=-7650.18 R=-1.00
2025-11-18 21:48:16 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.14904 sl=1.14921 tp=1.14869
2025-11-18 21:48:16 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.14921 pnl=-3681.56 R=-1.00
2025-11-18 21:48:16 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.14911 sl=1.14938 tp=1.14867
2025-11-18 21:48:16 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.14938 pnl=-5763.30 R=-1.00
2025-11-18 21:48:16 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.15069 sl=1.15036 tp=1.15129
2025-11-18 21:48:16 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.15036 pnl=-7042.86 R=-1.00
2025-11-18 21:48:16 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.15360 sl=1.15385 tp=1.15302
2025-11-18 21:48:16 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.15385 pnl=-5336.03 R=-1.00
2025-11-18 21:48:16 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.15364 sl=1.15385 tp=1.15303
2025-11-18 21:48:16 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.15303 pnl=13033.84 R=0.00
2025-11-18 21:48:17 | INFO | trades | OPEN | BUY | qty=21250000.00 entry=1.15331 sl=1.15304 tp=1.15459
2025-11-18 21:48:17 | INFO | trades | CLOSE | BUY | qty=21250000.00 exit=1.15331 pnl=0.00 R=0.00
2025-11-18 21:48:17 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.15389 sl=1.15433 tp=1.15289
2025-11-18 21:48:17 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.15433 pnl=-9368.20 R=-1.00
2025-11-18 21:48:17 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.15602 sl=1.15626 tp=1.15450
2025-11-18 21:48:17 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.15602 pnl=-0.00 R=0.00
2025-11-18 21:48:17 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.15624 sl=1.15637 tp=1.15493
2025-11-18 21:48:17 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.15637 pnl=-2744.29 R=-1.00
2025-11-18 21:48:17 | INFO | trades | OPEN | SELL | qty=21250000.00 entry=1.15635 sl=1.15651 tp=1.15465
2025-11-18 21:48:17 | INFO | trades | CLOSE | SELL | qty=21250000.00 exit=1.15651 pnl=-3379.51 R=-1.00
