Symbol,EMA_Fast,EMA_Slow,ADX,ATR_Mult,Trades,Win_Rate,Profit,Max_DD,PF,Expectancy,Avg_RR,Avg_Win,Avg_Loss
BTCUSD,23,275,55.0,2.0,25,60.0,22877.79999999999,8204.09999999989,2.1353577862364417,915.1119999999994,1.8530232633520891,2868.5399999999886,2015.0299999999843
XAUUSD,13,150,40.0,2.5,36,75.0,15331.00000000015,4869.999999999876,2.287886424731213,384.5277777777825,2.628145491509847,1008.7037037037031,1487.9999999999795
NAS100,15,225,40.0,2.5,44,63.63636363636363,4686.499999999971,1950.0,1.8014536126549718,106.51136363636297,1.3098086741423407,376.2142857142857,365.4687500000018
GBPUSD,25,250,35.0,3.0,66,63.63636363636363,2419.000000000049,823.0000000000236,2.2805717310747253,36.65151515151588,1.1890147598623673,102.57142857142773,78.70833333332986
GBPJPY,8,25,17.5,2.0,151,49.00662251655629,4601.000000000193,1469.4999999998872,1.5430190015343168,29.731875217847247,1.3789884070944443,176.67567567567647,111.48684210526139
USDJPY,11,18,22.5,3.0,104,54.807692307692314,2948.399999999918,1813.1999999999844,1.4972677595628185,27.11061872909621,1.2028721098187152,155.7473684210531,128.89565217391538
EURUSD,25,50,35.0,3.0,68,63.23529411764706,1833.5999999999567,389.00000000001273,2.0400453771978917,26.96470588235228,1.0400464789517943,83.64186046511692,70.5200000000029
